通し番号	作業番号	作業ファイル	申込番号	店舗種別	施設名称	施設所在地	施設ホームページURL
48491	262	8	16946548	カフェ・喫茶店	creperie & drink Noahs ark	〒561-0832 大阪府 豊中市 庄内西町3丁目7-40三丁目広場	
48495	266	8	94685437	フランス料理店	ragout	〒530-0012 大阪府 大阪市北区芝田1丁目1番3号	
48499	270	8	56996937	焼き鳥屋	焼鳥・手羽唐つかさ屋	〒561-0832 大阪府 豊中市 庄内西町3-7-40三丁目広場-E号	
48500	271	8	12288873	中華料理	餃子の勝	〒561-0832 大阪府 豊中市 庄内西町3-7-40三丁目広場	
48522	293	8	61868375	カフェ・喫茶店	ヴィ・ド・フランス梅田阪急ビル店	〒530-0017 大阪府 大阪市北区 角田町8番1号　梅田阪急ビルディング15階	http://www.viedefrance.co.jp/
48658	429	8	26786964	居酒屋	BARいこい	〒542-0082 大阪府 大阪市中央区 島之内2-8-6	
48661	432	8	80542342	BAR	ダイニングバー　カルネ	〒554-0051 大阪府 大阪市此花区 酉島1-14-14	
48705	476	8	49670085	カフェ・喫茶店	サンルヴァンなんば店	〒542-0076 大阪府 大阪市中央区 難波5-1-60　なんばスカイオ2F	https://www.viedefrance.co.jp/
48747	518	8	59004210	その他	タコヤキUFO	〒537-0012 大阪府 大阪市東成区 大今里3-1-9	
48772	543	8	60105585	その他	カラオケキッチン	〒580-0021 大阪府 松原市 高見の里4ｰ5ｰ31松原ギャラクシービル502号室	
48788	559	8	27737173	カフェ・喫茶店	つつしたらぼ	〒576-0051 大阪府 交野市 倉治4-35-23	higuchiorder.jp
48792	563	8	76559580	居酒屋	マシッヌンニョソッドゥル	〒590-0076 大阪府 堺市堺区 北瓦町2−1−24 	
48844	615	8	34791312	BAR	HOG HAUS	〒557-0001 大阪府 大阪市西成区 山王3-9-24 山王プラザ　1A	
48910	681	8	62389421	クラブ	OWL OSAKA	〒530-0017 大阪府 大阪市北区 角田町5-1 梅田楽天地ビルB1	https://owl-osaka.net/
